iter_info,split,type,time,latency,queueing_delay,arrival_time,seq_queue_size,input_len,output_len,num_sum_iter,mixed,batchsize,numtoken,num_sum_seq,num_gen_seq,seqlen,sum_attention_opb,qkvgen,q_down_proj,kv_down_proj,kr_proj,q_up_proj,qr_proj,kv_up_proj,tr_k_up_proj,v_up_proj,atten_sum,atten_gen,o_proj,ffn,expert_ffn,communication,rope,layernorm,residual,act_energy,read_energy,write_energy,all_act_energy,all_read_energy,all_write_energy,mac_energy,total_energy,fc_dram,fc_comp,attn_dram,attn_comp,moe_dram,moe_comp,OOM
1,0,t2t,106495.444297,106495.444297,0.000000,0.000000,0,0,0,0,1,9,768,9,0,0,110.478325,11044.201618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1717.654272,0.000000,7362.801079,81438.179328,0.000000,0.000000,0.000000,1573.888000,2359.296000,291810.816000,7646818.176000,1479772.800000,0.000000,0.000000,0.000000,77469165.822080,86887567.614080,8844357.888000,77051713.290240,570371.328000,347979.784320,0.000000,0.000000,0
1,0,t2t,136824.343369,30328.899072,0.000000,0.000000,0,0,0,0,1,2,114,2,0,0,95.081492,3291.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230.979072,0.000000,2213.888000,23420.928000,0.000000,0.000000,0.000000,234.496000,350.208000,207921.024000,6302663.040000,215094.528000,0.000000,0.000000,0.000000,11493092.286720,18218770.878720,6650085.888000,11437363.691520,74414.592000,40291.672320,0.000000,0.000000,0
0,0,e2e,136824.343369,30328.899072,0.000000,99999340.000000,0,12,12,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,136824.343369,30328.899072,0.000000,199988353.000000,0,102,102,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,0,t2t,243319.787666,106495.444297,0.000000,0.000000,0,0,0,0,1,9,768,9,0,0,110.478325,11044.201618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1717.654272,0.000000,7362.801079,81438.179328,0.000000,0.000000,0.000000,1573.888000,2359.296000,291810.816000,7646818.176000,1479772.800000,0.000000,0.000000,0.000000,77469165.822080,86887567.614080,8844357.888000,77051713.290240,570371.328000,347979.784320,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,299993512.000000,0,99,99,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,399992105.000000,0,97,97,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,499998451.000000,0,170,170,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,599994470.000000,0,14,14,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,699978066.000000,0,121,121,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,799964480.000000,0,121,121,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,899964456.000000,0,114,114,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,999951088.000000,0,15,15,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,0,e2e,243319.787666,106495.444297,0.000000,1099950056.000000,0,17,17,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,0,t2t,273648.686738,30328.899072,0.000000,0.000000,0,0,0,0,1,2,114,2,0,0,95.081492,3291.648000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,230.979072,0.000000,2213.888000,23420.928000,0.000000,0.000000,0.000000,234.496000,350.208000,207921.024000,6302663.040000,215094.528000,0.000000,0.000000,0.000000,11493092.286720,18218770.878720,6650085.888000,11437363.691520,74414.592000,40291.672320,0.000000,0.000000,0
